data,descrição,valor,tipo
2024-03-01,SALARIO EMPRESA XYZ,4500.00,entrada
2024-03-02,ALUGUEL APTO 302,-1450.00,saida
2024-03-03,SUPERMERCADO BOM PRECO,-312.75,saida
2024-03-04,UBER *TRIP,-21.40,saida
2024-03-05,IFOOD *RESTAURANTE SAO PAULO,-52.90,saida
2024-03-06,NETFLIX.COM,-39.90,saida
2024-03-07,POSTO IPIRANGA COMBUSTIVEL,-180.00,saida
2024-03-08,DROGARIA SAO PAULO,-87.30,saida
2024-03-09,PADARIA CENTRAL,-28.60,saida
2024-03-10,SPOTIFY BRASIL,-21.90,saida
2024-03-12,CINEMA CINEMARK,-64.00,saida
2024-03-14,UBER *TRIP,-33.80,saida
2024-03-15,RESTAURANTE OUTBACK,-1890.00,saida
2024-03-17,LIVRARIA CULTURA CURSO ONLINE,-249.00,saida
2024-03-19,CONTA DE LUZ ENEL,-198.45,saida
2024-03-21,PAG*7X4K9ZQ,-27.00,saida
2024-03-23,MAGAZINE LUIZA,-459.90,saida
2024-03-25,ACADEMIA SMARTFIT,-99.90,saida
2024-03-27,IFOOD *LANCHONETE,-44.10,saida
2024-03-29,METRO SP RECARGA,-50.00,saida
