data,descrição,valor,tipo
2024-03-01,SALARIO EMPRESA XYZ,4500.00,entrada
2024-03-02,ALUGUEL APTO 302,-1450.00,saida
2024-03-03,SUPERMERCADO BOM PRECO,-298.40,saida
2024-03-05,IFOOD *RESTAURANTE SAO PAULO,-52.90,saida
2024-03-06,NETFLIX.COM,-39.90,saida
2024-03-07,POSTO IPIRANGA COMBUSTIVEL,-160.00,saida
2024-03-09,UBER *TRIP,-24.30,saida
2024-03-11,DROGARIA SAO PAULO,-74.20,saida
2024-03-13,CINEMA CINEMARK,-58.00,saida
2024-03-16,CONTA DE LUZ ENEL,-187.20,saida
2024-03-18,PADARIA CENTRAL,-31.50,saida
2024-03-20,SPOTIFY BRASIL,-21.90,saida
2024-03-22,MAGAZINE LUIZA,-215.00,saida
2024-03-25,PLATAFORMA ALURA CURSOS,-89.00,saida
2024-03-28,METRO SP RECARGA,-50.00,saida
2024-04-01,SALARIO EMPRESA XYZ,4500.00,entrada
2024-04-02,ALUGUEL APTO 302,-1450.00,saida
2024-04-03,SUPERMERCADO BOM PRECO,-341.85,saida
2024-04-04,UBER *TRIP,-28.70,saida
2024-04-05,IFOOD *RESTAURANTE SAO PAULO,-61.40,saida
2024-04-06,NETFLIX.COM,-39.90,saida
2024-04-08,POSTO IPIRANGA COMBUSTIVEL,-210.00,saida
2024-04-10,CONSULTA MEDICA CLINICA VIDA,-350.00,saida
2024-04-12,UBER *TRIP,-41.60,saida
2024-04-14,RESTAURANTE OUTBACK,-2450.00,saida
2024-04-15,CONTA DE LUZ ENEL,-204.10,saida
2024-04-17,PAG*7X4K9ZQ,-33.00,saida
2024-04-19,SPOTIFY BRASIL,-21.90,saida
2024-04-21,MAGAZINE LUIZA,-129.90,saida
2024-04-23,PLATAFORMA ALURA CURSOS,-89.00,saida
2024-04-26,METRO SP RECARGA,-50.00,saida
2024-04-28,CINEMA CINEMARK,-72.00,saida
